url,http_status,redirects_to,final_url,title,meta_description_present,canonical_url,meta_robots,indexable,in_sitemap,notes
https://www.inkedup.id/,200,,https://www.inkedup.id/,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (as https://inkedup.id/),"SPA shell, 3,511 B; H1 absent pre-render; canonical points to redirecting non-www host (Finding 1, P1)"
https://www.inkedup.id/artists,200,,https://www.inkedup.id/artists,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell (MD5 ee33bf…), directly tested; per-page metadata client-only via useSEO (Finding 2, P1)"
https://www.inkedup.id/studios,200,,https://www.inkedup.id/studios,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://www.inkedup.id/locations,200,,https://www.inkedup.id/locations,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://www.inkedup.id/locations/canggu,200,,https://www.inkedup.id/locations/canggu,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://www.inkedup.id/locations/seminyak,200,,https://www.inkedup.id/locations/seminyak,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell inferred from sweep pattern (all 14 sampled URLs identical; catch-all rewrite)"
https://www.inkedup.id/locations/kuta,200,,https://www.inkedup.id/locations/kuta,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell inferred from sweep pattern"
https://www.inkedup.id/locations/uluwatu,200,,https://www.inkedup.id/locations/uluwatu,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell inferred from sweep pattern"
https://www.inkedup.id/locations/ubud,200,,https://www.inkedup.id/locations/ubud,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
https://www.inkedup.id/locations/sanur,200,,https://www.inkedup.id/locations/sanur,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell inferred from sweep pattern"
https://www.inkedup.id/locations/nusa-dua,200,,https://www.inkedup.id/locations/nusa-dua,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell inferred from sweep pattern"
https://www.inkedup.id/locations/jimbaran,200,,https://www.inkedup.id/locations/jimbaran,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell inferred from sweep pattern"
https://www.inkedup.id/inspiration,200,,https://www.inkedup.id/inspiration,"InkedUp — Premium Mobile Tattoo Concierge, Bali",yes,https://inkedup.id/,absent,yes,yes (non-www loc),"byte-identical shell, directly tested (Finding 2, P1)"
